song,date
/single/Trip/Ella%20Mai/,2019-01-26
/single/I%20Like%20It/Cardi%20B%2C%20Bad%20Bunny%20%26%20J%20Balvin/,2019-01-26
/single/Natural/Imagine%20Dragons/,2019-01-26
/single/Close%20To%20Me/Ellie%20Goulding%20X%20Diplo%20Featuring%20Swae%20Lee/,2019-01-26
/single/Dancing%20With%20A%20Stranger/Sam%20Smith%20%26%20Normani/,2019-01-26
/single/A%20Lot/21%20Savage/,2019-01-26
/single/You%20Say/Lauren%20Daigle/,2019-01-26
/single/Sweet%20But%20Psycho/Ava%20Max/,2019-01-26
/single/Baby%20Shark/Pinkfong/,2019-01-26
/single/She%20Got%20The%20Best%20Of%20Me/Luke%20Combs/,2019-01-26
/single/Swervin/A%20Boogie%20Wit%20da%20Hoodie%20Featuring%206ix9ine/,2019-01-26
/single/Look%20Back%20At%20It/A%20Boogie%20Wit%20da%20Hoodie/,2019-01-26
/single/Envy%20Me/Calboy/,2019-01-26
/single/Beautiful%20Crazy/Luke%20Combs/,2019-01-26
/single/Sixteen/Thomas%20Rhett/,2019-01-26
/single/Be%20Alright/Dean%20Lewis/,2019-01-26
/single/Backin%27%20It%20Up/Pardison%20Fontaine%20Featuring%20Cardi%20B/,2019-01-26
/single/Girl%20Like%20You/Jason%20Aldean/,2019-01-26
/single/Burning%20Man/Dierks%20Bentley%20Featuring%20Brothers%20Osborne/,2019-01-26
/single/Best%20Shot/Jimmie%20Allen/,2019-01-26
/single/Uproar/Lil%20Wayne/,2019-01-26
/single/Nothing%20Breaks%20Like%20A%20Heart/Mark%20Ronson%20Featuring%20Miley%20Cyrus/,2019-01-26
/single/This%20Feeling/The%20Chainsmokers%20Featuring%20Kelsea%20Ballerini/,2019-01-26
/single/This%20Is%20It/Scotty%20McCreery/,2019-01-26
/single/Good%20Girl/Dustin%20Lynch/,2019-01-26
/single/Twerk/City%20Girls%20Featuring%20Cardi%20B/,2019-01-26
/single/Calling%20My%20Spirit/Kodak%20Black/,2019-01-26
/single/Undecided/Chris%20Brown/,2019-01-26
/single/Saturday%20Nights/Khalid%20%26%20Kane%20Brown/,2019-01-26
/single/Armed%20and%20Dangerous/Juice%20WRLD/,2019-01-26
/single/Crushed%20Up/Future/,2019-01-26
/single/Consequences/Camila%20Cabello/,2019-01-26
/single/You/Jacquees/,2019-01-26
/single/Arms%20Around%20You/XXXTENTACION%20x%20Lil%20Pump%20Featuring%20Maluma%20%26%20Swae%20Lee/,2019-01-26
/single/No%20Stylist/French%20Montana%20Featuring%20Drake/,2019-01-26
/single/Lovely/Billie%20Eilish%20%26%20Khalid/,2019-01-26
/single/Startender/A%20Boogie%20Wit%20da%20Hoodie%20Featuring%20Offset%20%26%20Tyga/,2019-01-26
/single/Ella%20Quiere%20Beber/Anuel%20AA%20%26%20Romeo%20Santos/,2019-01-26
/single/Pure%20Cocaine/Lil%20Baby/,2019-01-26
/single/Electricity/Silk%20City%20x%20Dua%20Lipa/,2019-01-26
/single/Nights%20Like%20This/Kehlani%20Featuring%20Ty%20Dolla%20%24ign/,2019-01-26
