date,track,artist,URI
2019-03-16,Rule The World,2 Chainz  Ariana Grande,spotify:track:1R6VwZ8TuHRzxZUxe88n4I
2019-03-16,Momma I Hit A Lick,2 Chainz  Kendrick Lamar,spotify:track:7jKUnzzOGhAlPjr7LkIUlE
2019-03-23,Empty,Juice WRLD,spotify:track:3T06rGO2dVEntMvym0vpQu
2019-03-23,Fast,Juice WRLD,spotify:track:5WQrDB34o6M8V0jxNiX6RU
2019-03-23,Maze,Juice WRLD,spotify:track:55XOUxXsBBbC07PD3Zml3F
2019-03-23,Here With Me,Marshmello  CHVRCHES,spotify:track:5icOoE6VgqFKohjWWNp0Ac
2019-03-23,My Bad,Khalid,spotify:track:2XKFnwB6djxrJCjR3PdeRb
2019-03-23,Undrunk,FLETCHER,spotify:track:1Pj5oOFzLYELyyeh1IYRK0
2019-03-23,Rumor,Lee Brice,spotify:track:56eGOeSsqdg3FLxdo83TwV
2019-03-23,Flaws and Sins,Juice WRLD,spotify:track:0flSGzqHO12p9fU9kqaHGE
2019-03-23,Calma,Pedro Capo Farruko,spotify:track:5iwz1NiezX7WWjnCgY5TH4
2019-03-23,I ve Been Waiting,Lil Peep   iLoveMakonnen  Fall Out Boy,spotify:track:2v5JTeM6hSmi5wWy7jiwrI
2019-03-30,Numb Numb Juice,ScHoolboy Q,spotify:track:6tByydPskASjm9jTPkNQq0
2019-03-30,Sally Walker,Iggy Azalea,spotify:track:1bPoQ1zaUWZmiYrckwfulU
2019-03-30,Slow Dancing In The Dark,Joji,spotify:track:0rKtyWc8bvkriBthvHKY8d
2019-04-06,Price On My Head,NAV  The Weeknd,spotify:track:4hqOmrCCJKyiuwDexd8c2t
2019-04-06,Confessions Of A Dangerous Mind,Logic,spotify:track:6yIGZp1AaFBoDczu3b4hVU
2019-04-06,Tap,NAV  Meek Mill,spotify:track:5rU6kDNXZLXIinFezpbWbO
2019-04-06,Pop Out,Polo G  Lil Tjay,spotify:track:6uFn47ACjqYkc0jADwEdj1
2019-04-06,Don t Call Me Up,Mabel,spotify:track:5WHTFyqSii0lmT9R21abT8
2019-04-06,Last Hurrah,Bebe Rexha,spotify:track:0i0wnv9UoFdZ5MfuFGQzMy
2019-04-13,Bad Guy,Billie Eilish,spotify:track:2Fxmhks0bxGSBdJ92vM42m
2019-04-13,Xanny,Billie Eilish,spotify:track:4QIo4oxwzzafcBWkKjDpXY
2019-04-13,You Should See Me In A Crown,Billie Eilish,spotify:track:3XF5xLJHOQQRbWya6hBp7d
2019-04-13,My Strange Addiction,Billie Eilish,spotify:track:3Tc57t9l2O8FwQZtQOvPXK
2019-04-13,Racks In The Middle,Nipsey Hussle  Roddy Ricch   Hit-Boy,spotify:track:6ya8ejoKgw906Y8LWclqrp
2019-04-13,All The Good Girls Go To Hell,Billie Eilish,spotify:track:6IRdLKIyS4p7XNiP8r6rsx
2019-04-13,I Love You,Billie Eilish,spotify:track:6CcJMwBtXByIz4zQLzFkKc
2019-04-13,God s Country,Blake Shelton,spotify:track:4TCeFZNjGNQIpCuZmJkkE2
2019-04-13,Ilomilo,Billie Eilish,spotify:track:7qEKqBCD2vE5vIBsrUitpD
2019-04-13,Listen Before I Go,Billie Eilish,spotify:track:0tMSssfxAL2oV8Vri0mFHE
2019-04-13,Double Up,Nipsey Hussle  Belly   DOM KENNEDY,spotify:track:4iVD0fTHGxV9JWloujsL3s
2019-04-13,Monopoly,Ariana Grande   Victoria Monet,spotify:track:6tsOcBnaKgzK22yEiqRh8P
2019-04-13,8,Billie Eilish,spotify:track:6X29iaaazwho3ab7GNue5r
2019-04-13,Last Time That I Checc d,Nipsey Hussle  YG,spotify:track:39xWBHPM4E9MwzEy5gbM7p
2019-04-13,Suge,DaBaby,spotify:track:2gwkD6igEhQbDQegRCcdoB
2019-04-13,Dedication,Nipsey Hussle  Kendrick Lamar,spotify:track:6fIjnWrv46njJHLDAY2JdC
2019-04-20,Cool,Jonas Brothers,spotify:track:7yfi8B8opXjnRh4VZnOkz9
2019-04-20,Kill This Love,BLACKPINK,spotify:track:6hvczQ05jc1yGlp9zhb95V
2019-04-20,Outta My Head,Khalid With John Mayer,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP
2019-04-20,Don t Pretend,Khalid SAFE,spotify:track:1E6DEDWDKHoOW0fcFuDghV
2019-04-20,Bad Luck,Khalid,spotify:track:2vsuel3g4zaLYSOY0mOMbi
2019-04-20,Right Back,Khalid  A Boogie Wit da Hoodie,spotify:track:6PYnUsNEpYC7A4BS2sjw3L
2019-04-20,Inmortal,Aventura,spotify:track:2swZ0X1njeU32SNJeBKIfW
2019-04-20,Big Ole Freak,Megan Thee Stallion,spotify:track:3YEbLhXRDPTtctnb3ddg8g
2019-04-20,Victory Lap,Nipsey Hussle  Stacy Barthe,spotify:track:6hkQ6OQ6nhe7QCckH91aGa
2019-04-27,Boy With Luv,BTS  Halsey,spotify:track:4a9tbd947vo9K8Vti9JwcI
2019-04-27,Sanguine Paradise,Lil Uzi Vert,spotify:track:3XiNC94b4Tq1xwv70sQJGN
